Total details with discrepancy/damage for session d1d3b0cd-08e4-4bae-af6d-6afa729b78cd: 288
 39: I100168 | Ớt hiểm xanh                   | HT: -31.6    | TT: 2.8      | Huy: 0        | Lệch: -34.4    | Ghi chú: "Điều chỉnh tăng từ Excel"
 40: I100156 | Ngò rí                         | HT: -33.9    | TT: 0        | Huy: 0        | Lệch: -33.9    | Ghi chú: "Tự động reset kho âm (không có trong Excel)"
 41: I100097 | Củ Gừng                        | HT: -26.5    | TT: 6.5      | Huy: 0        | Lệch: -33      | Ghi chú: "Điều chỉnh tăng từ Excel"
 42: I100167 | Ớt hiểm đỏ                     | HT: -32.44   | TT: 0        | Huy: 0        | Lệch: -32.44   | Ghi chú: "Tự động reset kho âm (không có trong Excel)"
 43: I100062 | Chanh vàng                     | HT: 0.19     | TT: 30       | Huy: 0        | Lệch: -29.81   | Ghi chú: "Điều chỉnh tăng từ Excel"
 44: I100045 | Cải Hongkong(Cai ngong)        | HT: -29.6    | TT: 0        | Huy: 0        | Lệch: -29.6    | Ghi chú: "Tự động reset kho âm (không có trong Excel)"
 45: I100386 | Rau rừng Gia Lai               | HT: -2.5     | TT: 27       | Huy: 0        | Lệch: -29.5    | Ghi chú: "Điều chỉnh tăng từ Excel"
 46: I100033 | Cà chua bi                     | HT: -19.2    | TT: 9        | Huy: 0        | Lệch: -28.2    | Ghi chú: "Điều chỉnh tăng từ Excel"
 47: I100170 | Ớt sừng đỏ                     | HT: -12.2    | TT: 16       | Huy: 0        | Lệch: -28.2    | Ghi chú: "Điều chỉnh tăng từ Excel"
 48: I100121 | Khoai lang nhật                | HT: -13.8    | TT: 14       | Huy: 0        | Lệch: -27.8    | Ghi chú: "Điều chỉnh tăng từ Excel"
 49: I100010 | Bầu xanh                       | HT: -9.6     | TT: 17.5     | Huy: 0        | Lệch: -27.1    | Ghi chú: "Điều chỉnh tăng từ Excel"
 50: I100221 | Thơm gọt                       | HT: -26      | TT: 0        | Huy: 0        | Lệch: -26      | Ghi chú: "Tự động reset kho âm (không có trong Excel)"
 51: I100785 | Nấm đông cô gói                | HT: -25      | TT: 0        | Huy: 0        | Lệch: -25      | Ghi chú: "Tự động reset kho âm (không có trong Excel)"
 52: I100232 | Tỏi xay                        | HT: -23.8    | TT: 0        | Huy: 0        | Lệch: -23.8    | Ghi chú: "Tự động reset kho âm (không có trong Excel)"
 53: I100676 | Me Hộp                         | HT: 0        | TT: 23       | Huy: 0        | Lệch: -23      | Ghi chú: "Điều chỉnh tăng từ Excel"
 54: I100482 | Dừa tươi gọt vỏ                | HT: -23      | TT: 0        | Huy: 0        | Lệch: -23      | Ghi chú: "Tự động reset kho âm (không có trong Excel)"
 55: I100007 | Bắp mỹ kg Lột Vỏ               | HT: -22.3    | TT: 0        | Huy: 0        | Lệch: -22.3    | Ghi chú: "Tự động reset kho âm (không có trong Excel)"
 56: I100591 | Cà rốt ĐaLat (củ lớn)          | HT: -22.1    | TT: 0        | Huy: 0        | Lệch: -22.1    | Ghi chú: "Tự động reset kho âm (không có trong Excel)"
 57: I100262 | Đậu hủ trắng Ichiban           | HT: -22      | TT: 0        | Huy: 0        | Lệch: -22      | Ghi chú: "Tự động reset kho âm (không có trong Excel)"
